CHANNEL,PLATFORM,MONTH,VIEWS
KBS 2,NAVER,2019-04-01,55912290
KBS 2,NAVER,2019-05-01,54713220
KBS 2,NAVER,2019-06-01,52011394
KBS 2,NAVER,2019-07-01,47295793
KBS 2,NAVER,2019-08-01,44375714
KBS 2,NAVER,2019-09-01,46724341
KBS 2,NAVER,2019-10-01,52794379
KBS 2,NAVER,2019-11-01,49967821
KBS 2,NAVER,2019-12-01,43541891
KBS 2,YOUTUBE,2019-12-01,12139411
KBS drama,KAKAO,2019-01-01,534
KBS drama,KAKAO,2019-02-01,169
KBS drama,KAKAO,2019-03-01,258
KBS drama,KAKAO,2019-04-01,145
KBS drama,KAKAO,2019-05-01,151
KBS drama,KAKAO,2019-06-01,121
KBS drama,KAKAO,2019-07-01,282
KBS drama,KAKAO,2019-08-01,160
KBS drama,KAKAO,2019-09-01,178
KBS drama,KAKAO,2019-10-01,147
KBS drama,KAKAO,2019-11-01,135
KBS drama,KAKAO,2019-12-01,63
KBS drama,NAVER,2019-01-01,2450
KBS drama,NAVER,2019-02-01,2461
KBS drama,NAVER,2019-03-01,1722
KBS drama,NAVER,2019-04-01,1244
KBS drama,NAVER,2019-05-01,985
KBS drama,NAVER,2019-06-01,798
KBS drama,NAVER,2019-07-01,531
KBS drama,NAVER,2019-08-01,1366
KBS drama,NAVER,2019-09-01,595
KBS drama,NAVER,2019-10-01,569
KBS drama,NAVER,2019-11-01,567
KBS drama,NAVER,2019-12-01,778
KBS joy,KAKAO,2019-01-01,441302
KBS joy,KAKAO,2019-02-01,519891
KBS joy,KAKAO,2019-03-01,503443
KBS joy,KAKAO,2019-04-01,411132
KBS joy,KAKAO,2019-05-01,582101
KBS joy,KAKAO,2019-06-01,275632
KBS joy,KAKAO,2019-07-01,522189
KBS joy,KAKAO,2019-08-01,219640
KBS joy,KAKAO,2019-09-01,304259
KBS joy,KAKAO,2019-10-01,269070
KBS joy,KAKAO,2019-11-01,149513
KBS joy,KAKAO,2019-12-01,261397
KBS joy,NAVER,2019-01-01,743673
KBS joy,NAVER,2019-02-01,873368
KBS joy,NAVER,2019-03-01,1092680
KBS joy,NAVER,2019-04-01,934025
KBS joy,NAVER,2019-05-01,1175644
KBS joy,NAVER,2019-06-01,1037133
KBS joy,NAVER,2019-07-01,995042
KBS joy,NAVER,2019-08-01,1227474
KBS joy,NAVER,2019-09-01,962924
KBS joy,NAVER,2019-10-01,939642
KBS joy,NAVER,2019-11-01,552342
KBS joy,NAVER,2019-12-01,1160193
KBS prime,KAKAO,2019-01-01,1620
KBS prime,KAKAO,2019-02-01,1516
KBS prime,KAKAO,2019-03-01,1696
KBS prime,KAKAO,2019-04-01,1261
KBS prime,KAKAO,2019-05-01,37453
KBS prime,KAKAO,2019-06-01,1199
KBS prime,KAKAO,2019-07-01,1235
KBS prime,KAKAO,2019-08-01,1000
KBS prime,KAKAO,2019-09-01,1022
KBS prime,KAKAO,2019-10-01,1702
KBS prime,KAKAO,2019-11-01,1095
KBS prime,KAKAO,2019-12-01,1133
KBS prime,NAVER,2019-01-01,132665
KBS prime,NAVER,2019-02-01,96625
KBS prime,NAVER,2019-03-01,115546
KBS prime,NAVER,2019-04-01,71316
KBS prime,NAVER,2019-05-01,22033
KBS prime,NAVER,2019-06-01,18233
KBS prime,NAVER,2019-07-01,20707
KBS prime,NAVER,2019-08-01,20759
KBS prime,NAVER,2019-09-01,15823
KBS prime,NAVER,2019-10-01,15732
KBS prime,NAVER,2019-11-01,14301
KBS prime,NAVER,2019-12-01,15267
KBS 스포츠,KAKAO,2019-01-01,63920
KBS 스포츠,KAKAO,2019-02-01,97045
KBS 스포츠,KAKAO,2019-03-01,48132
KBS 스포츠,KAKAO,2019-04-01,276564
KBS 스포츠,KAKAO,2019-05-01,52428
KBS 스포츠,KAKAO,2019-06-01,295452
KBS 스포츠,KAKAO,2019-07-01,30351
KBS 스포츠,KAKAO,2019-08-01,139385
KBS 스포츠,KAKAO,2019-09-01,34498
KBS 스포츠,KAKAO,2019-10-01,84535
KBS 스포츠,KAKAO,2019-11-01,177948
KBS 스포츠,KAKAO,2019-12-01,21898
KBS 스포츠,NAVER,2019-01-01,108331
KBS 스포츠,NAVER,2019-02-01,93439
KBS 스포츠,NAVER,2019-03-01,77709
KBS 스포츠,NAVER,2019-04-01,64689
KBS 스포츠,NAVER,2019-05-01,22962
KBS 스포츠,NAVER,2019-06-01,35946
KBS 스포츠,NAVER,2019-07-01,24028
KBS 스포츠,NAVER,2019-08-01,24998
KBS 스포츠,NAVER,2019-09-01,27261
KBS 스포츠,NAVER,2019-10-01,20882
KBS 스포츠,NAVER,2019-11-01,27455
KBS 스포츠,NAVER,2019-12-01,23532
KCON.TV,KAKAO,2019-01-01,16
KCON.TV,KAKAO,2019-02-01,22
KCON.TV,KAKAO,2019-03-01,23
KCON.TV,KAKAO,2019-04-01,25
KCON.TV,KAKAO,2019-05-01,119
KCON.TV,KAKAO,2019-06-01,30
KCON.TV,KAKAO,2019-07-01,92
KCON.TV,KAKAO,2019-08-01,368
KCON.TV,KAKAO,2019-09-01,259
KCON.TV,KAKAO,2019-10-01,35
KCON.TV,KAKAO,2019-11-01,25
KCON.TV,KAKAO,2019-12-01,112
KCON.TV,NAVER,2019-01-01,1052
KCON.TV,NAVER,2019-02-01,900
KCON.TV,NAVER,2019-03-01,639
KCON.TV,NAVER,2019-04-01,612
KCON.TV,NAVER,2019-05-01,454
KCON.TV,NAVER,2019-06-01,540
KCON.TV,NAVER,2019-07-01,690
KCON.TV,NAVER,2019-08-01,484
KCON.TV,NAVER,2019-09-01,368
KCON.TV,NAVER,2019-10-01,332
KCON.TV,NAVER,2019-11-01,268
KCON.TV,NAVER,2019-12-01,232
KNN1,KAKAO,2019-01-01,4875
KNN1,KAKAO,2019-02-01,3466
KNN1,KAKAO,2019-03-01,2141
KNN1,KAKAO,2019-04-01,1662
KNN1,KAKAO,2019-05-01,1143
KNN1,KAKAO,2019-06-01,975
