WEEK_NUM,WEEK,PROGRAM,CH,KAKAO,NAVER,YOUTUBE
8,8주차(2020/02/17~2020/02/23),맨 인 블랙박스,SBS,106009,9884,
8,8주차(2020/02/17~2020/02/23),1박 2일 시즌4,KBS 2,25517,81787,7529
8,8주차(2020/02/17~2020/02/23),알함브라 궁전의 추억,tvN,8660,104905,
8,8주차(2020/02/17~2020/02/23),설특집 2020 송가인 콘서트 ＜고맙습니다＞,MBC,2452,10935,96915
8,8주차(2020/02/17~2020/02/23),위클리 차이나우,중화TV,72215,35100,376
8,8주차(2020/02/17~2020/02/23),2019 MBC 방송연예대상,MBC,1239,5107,100900
8,8주차(2020/02/17~2020/02/23),길길이 다시 산다,채널A,97,640,105565
8,8주차(2020/02/17~2020/02/23),방구석1열,JTBC,73851,26726,4691
8,8주차(2020/02/17~2020/02/23),실화탐사대,MBC,2704,31267,70388
8,8주차(2020/02/17~2020/02/23),마이 리틀 텔레비전 V2,MBC,1040,8040,94097
8,8주차(2020/02/17~2020/02/23),순간포착 세상에 이런 일이,SBS,5719,22834,73680
8,8주차(2020/02/17~2020/02/23),녹비홍수,중화TV,14745,85846,
8,8주차(2020/02/17~2020/02/23),통일준비 생활백서 잘 살아보세,채널A,310,1894,98384
8,8주차(2020/02/17~2020/02/23),거리의 만찬,KBS 1,95428,531,
8,8주차(2020/02/17~2020/02/23),연애의 참견,KBS joy,19094,71671,
8,8주차(2020/02/17~2020/02/23),옥탑방의 문제아들,KBS 2,31466,33999,24732
8,8주차(2020/02/17~2020/02/23),[Mnet M2] 엠피디직캠,M2,2667,87356,
8,8주차(2020/02/17~2020/02/23),2019 SBS 가요대전,SBS,209,9719,79622
8,8주차(2020/02/17~2020/02/23),우리 다시 사랑할 수 있을까 시즌2,MBN,1263,7939,79617
8,8주차(2020/02/17~2020/02/23),이슈 픽(Pick),MBN,700,87284,
8,8주차(2020/02/17~2020/02/23),더 드리머,KBS 2,43,551,86448
8,8주차(2020/02/17~2020/02/23),나의 아저씨,tvN,7583,77773,
